"Title","Type","Status","Week","Due Date","Topics","Student View","Release Date","Tools","Workload","Duration","Content Ready","Notes","Content"
"Data Tables Practice","Lab","Planning",3,09/19/25 02:30 PM,"DataFrame exploration + share findings","Hidden",09/19/25 09:00 AM,"Pandas","Medium",55,09/17/25 09:00 AM,"Week 3 Friday lab","Understanding check + data exploration

Additional Ideas to Cover:
- Data Tables Lab Prep: Understanding check protocols, hands-on practice datasets — Prepare materials for TA to verify student understanding of table concepts and DataFrame operations. Include datasets for hands-on practice, rubrics for understanding checks (can student explain row vs column, create simple DataFrame, identify data quality issues), troubleshooting guides for common pandas errors. Provide structured activities for students to practice DataFrame creation and exploration with different datasets. — TA materials for data tables practice
- Data Tables Lab Session: Row/column concepts, DataFrame operations — TA guides students through DataFrame practice, individual understanding checks, hands-on work with new datasets. Students demonstrate row/column concepts, practice basic pandas operations, get help with any confusion from the week's material. — Data tables creation and exploration
- First DataFrame Demo: Class survey data, paper-to-code transition — Live demonstration of creating first DataFrame using class survey data from Week 1. Show transition from paper table to Python code step-by-step. Demonstrate basic DataFrame operations: .shape, .info(), .head(), .describe(). Have students follow along in paired work, creating their own simple DataFrames. Focus on connecting conceptual understanding (tables) to practical tool (pandas). Include common error troubleshooting and debugging strategies. — Creating DataFrames, basic operations
- Data Tables Prep: Examples from daily life, clean vs messy data concepts — Create presentation on data organization: why tables are fundamental to data science, rows as observations vs columns as variables, examples from daily life (gradebooks, shopping receipts, contact lists). Introduce concept of 'clean' vs 'messy' data with visual examples. Explain why pandas library exists (regular Python lists aren't sufficient for data analysis). Include interactive elements: students identify table structures in their daily life, discuss what makes data hard to work with. — Tables, rows/columns, pandas introduction
- Real Data Quality Prep: Examples of messy real-world data — Prepare presentation on reality of data work: real data is always messy, common problems (missing values, inconsistent formats, typos, wrong data types), why data cleaning takes 80% of data science time. Show before/after examples of messy vs clean datasets. Discuss ethical implications of data quality decisions. Include examples from news/research where data quality affected conclusions. Set expectations that this is normal and important skill. — Data quality, cleaning concepts"
"GAI-E03: Tables & DataFrames","Assignment","Planning",3,09/23/25 02:00 PM,"From lists to tables - DataFrames - data messiness","Hidden",09/18/25 06:00 PM,"ChatGPT/Claude","Heavy",180,09/16/25 06:00 PM,"Released Thursday evening - due before Week 4 Tuesday","Tables and data organization with AI

Additional Ideas to Cover:
- Dataset Exploration Demo: Interesting but manageable dataset for exploration — Live exploration of real dataset with actual quality issues. Demonstrate loading data from CSV, initial exploration (.shape, .info(), .head()), identifying problems (missing values, wrong data types, outliers), basic cleaning operations. Choose dataset that's interesting but not overwhelming - maybe local weather data, movie ratings, or social media trends. Students follow along, discuss what they observe, suggest next steps for analysis. — Loading and exploring real datasets
- First DataFrame Demo: Class survey data, paper-to-code transition — Live demonstration of creating first DataFrame using class survey data from Week 1. Show transition from paper table to Python code step-by-step. Demonstrate basic DataFrame operations: .shape, .info(), .head(), .describe(). Have students follow along in paired work, creating their own simple DataFrames. Focus on connecting conceptual understanding (tables) to practical tool (pandas). Include common error troubleshooting and debugging strategies. — Creating DataFrames, basic operations
- Data Tables Prep: Examples from daily life, clean vs messy data concepts — Create presentation on data organization: why tables are fundamental to data science, rows as observations vs columns as variables, examples from daily life (gradebooks, shopping receipts, contact lists). Introduce concept of 'clean' vs 'messy' data with visual examples. Explain why pandas library exists (regular Python lists aren't sufficient for data analysis). Include interactive elements: students identify table structures in their daily life, discuss what makes data hard to work with. — Tables, rows/columns, pandas introduction
- Real Data Quality Prep: Examples of messy real-world data — Prepare presentation on reality of data work: real data is always messy, common problems (missing values, inconsistent formats, typos, wrong data types), why data cleaning takes 80% of data science time. Show before/after examples of messy vs clean datasets. Discuss ethical implications of data quality decisions. Include examples from news/research where data quality affected conclusions. Set expectations that this is normal and important skill. — Data quality, cleaning concepts
- Data Tables Lab Prep: Understanding check protocols, hands-on practice datasets — Prepare materials for TA to verify student understanding of table concepts and DataFrame operations. Include datasets for hands-on practice, rubrics for understanding checks (can student explain row vs column, create simple DataFrame, identify data quality issues), troubleshooting guides for common pandas errors. Provide structured activities for students to practice DataFrame creation and exploration with different datasets. — TA materials for data tables practice"
"Data Manipulation Fundamentals","Lecture","Planning",4,09/23/25 03:15 PM,"Asking questions of data","Hidden",09/23/25 02:00 PM,"Pandas","Medium",75,09/21/25 02:00 PM,"Week 4 Tuesday","Filtering - selecting - sorting

Additional Ideas to Cover:
- Data Manipulation Prep: Question-driven analysis examples — Prepare presentation on data manipulation as question-answering tool: filtering rows to focus on subsets, selecting columns for specific analysis, sorting to find patterns. Frame each operation as way to ask questions of data ('Show me only students with GPA > 3.5', 'What are the top 10 highest values?'). Include conceptual explanations before diving into pandas syntax. Emphasize building analytical thinking alongside technical skills. — Filtering, selecting, sorting concepts
- Data Manipulation Lab Prep: Challenge dataset, understanding check rubrics — Prepare challenge dataset and questions for students to answer using data manipulation techniques. Create rubrics for understanding checks: can student filter data appropriately, interpret group comparisons, explain their analytical approach. Include troubleshooting guide for common pandas errors (key errors, indexing issues, groupby problems). Design activities that require combining multiple operations to answer complex questions. — TA materials for manipulation practice
- Data Manipulation Lab Session: Question-answering with data manipulation techniques — Students work through challenge dataset answering specific questions using filtering, grouping, and summary statistics. TA provides individual support and verifies understanding through brief demonstrations. Focus on analytical process: breaking complex questions into manageable data operations. — Data manipulation challenge
- Data Questions Demo: Dataset with interesting patterns for filtering/sorting — Live demonstration using dataset with interesting patterns. Pose questions and show how to answer with data manipulation: filtering (.loc, boolean indexing), selecting columns, sorting (.sort_values()). Students suggest questions and work through answers together. Choose dataset where filtering/sorting reveals meaningful patterns - maybe student performance data, sales data, or sports statistics. Focus on interpretation of results, not just mechanics. — Pandas operations for data exploration
- Grouping Concepts Prep: Statistical intuition building examples — Introduction to grouping data for comparison: why we group (compare categories, find patterns across groups), what summary statistics tell us (mean, median, count, std), how to interpret group differences. Build statistical intuition before technical implementation. Use examples from student experience: comparing majors, analyzing performance by different factors. Discuss when differences are meaningful vs random variation. — Grouping data, summary statistics, interpretation"
"Grouping and Summary Statistics","Lecture","Planning",4,09/25/25 03:15 PM,"Finding patterns in groups","Hidden",09/25/25 02:00 PM,"Pandas","Medium",75,09/23/25 02:00 PM,"Week 4 Thursday","Group analysis + summary stats

Additional Ideas to Cover:
- Grouping Concepts Prep: Statistical intuition building examples — Introduction to grouping data for comparison: why we group (compare categories, find patterns across groups), what summary statistics tell us (mean, median, count, std), how to interpret group differences. Build statistical intuition before technical implementation. Use examples from student experience: comparing majors, analyzing performance by different factors. Discuss when differences are meaningful vs random variation. — Grouping data, summary statistics, interpretation
- Data Questions Demo: Dataset with interesting patterns for filtering/sorting — Live demonstration using dataset with interesting patterns. Pose questions and show how to answer with data manipulation: filtering (.loc, boolean indexing), selecting columns, sorting (.sort_values()). Students suggest questions and work through answers together. Choose dataset where filtering/sorting reveals meaningful patterns - maybe student performance data, sales data, or sports statistics. Focus on interpretation of results, not just mechanics. — Pandas operations for data exploration
- Data Manipulation Prep: Question-driven analysis examples — Prepare presentation on data manipulation as question-answering tool: filtering rows to focus on subsets, selecting columns for specific analysis, sorting to find patterns. Frame each operation as way to ask questions of data ('Show me only students with GPA > 3.5', 'What are the top 10 highest values?'). Include conceptual explanations before diving into pandas syntax. Emphasize building analytical thinking alongside technical skills. — Filtering, selecting, sorting concepts
- Group Analysis Demo: Dataset suitable for category comparisons — Live demonstration of pandas groupby operations using dataset with meaningful categories. Show .groupby(), .agg(), basic summary statistics. Students work through examples comparing different groups, interpreting what the numbers mean. Focus on connecting statistical results to real-world significance. Include discussion of when group differences might be due to other factors (confounding variables). — GroupBy operations, statistical summaries
- Data Manipulation Lab Prep: Challenge dataset, understanding check rubrics — Prepare challenge dataset and questions for students to answer using data manipulation techniques. Create rubrics for understanding checks: can student filter data appropriately, interpret group comparisons, explain their analytical approach. Include troubleshooting guide for common pandas errors (key errors, indexing issues, groupby problems). Design activities that require combining multiple operations to answer complex questions. — TA materials for manipulation practice"
"Data Manipulation Practice","Lab","Planning",4,09/26/25 02:30 PM,"Challenge dataset questions + Q&A","Hidden",09/26/25 09:00 AM,"Pandas","Medium",55,09/24/25 09:00 AM,"Week 4 Friday lab","Data manipulation understanding check

Additional Ideas to Cover:
- Data Manipulation Lab Prep: Challenge dataset, understanding check rubrics — Prepare challenge dataset and questions for students to answer using data manipulation techniques. Create rubrics for understanding checks: can student filter data appropriately, interpret group comparisons, explain their analytical approach. Include troubleshooting guide for common pandas errors (key errors, indexing issues, groupby problems). Design activities that require combining multiple operations to answer complex questions. — TA materials for manipulation practice
- Data Manipulation Lab Session: Question-answering with data manipulation techniques — Students work through challenge dataset answering specific questions using filtering, grouping, and summary statistics. TA provides individual support and verifies understanding through brief demonstrations. Focus on analytical process: breaking complex questions into manageable data operations. — Data manipulation challenge
- Data Manipulation Prep: Question-driven analysis examples — Prepare presentation on data manipulation as question-answering tool: filtering rows to focus on subsets, selecting columns for specific analysis, sorting to find patterns. Frame each operation as way to ask questions of data ('Show me only students with GPA > 3.5', 'What are the top 10 highest values?'). Include conceptual explanations before diving into pandas syntax. Emphasize building analytical thinking alongside technical skills. — Filtering, selecting, sorting concepts
- Data Questions Demo: Dataset with interesting patterns for filtering/sorting — Live demonstration using dataset with interesting patterns. Pose questions and show how to answer with data manipulation: filtering (.loc, boolean indexing), selecting columns, sorting (.sort_values()). Students suggest questions and work through answers together. Choose dataset where filtering/sorting reveals meaningful patterns - maybe student performance data, sales data, or sports statistics. Focus on interpretation of results, not just mechanics. — Pandas operations for data exploration
- Grouping Concepts Prep: Statistical intuition building examples — Introduction to grouping data for comparison: why we group (compare categories, find patterns across groups), what summary statistics tell us (mean, median, count, std), how to interpret group differences. Build statistical intuition before technical implementation. Use examples from student experience: comparing majors, analyzing performance by different factors. Discuss when differences are meaningful vs random variation. — Grouping data, summary statistics, interpretation"
"GAI-E04: Data Manipulation","Assignment","Planning",4,09/30/25 02:00 PM,"Column selection - filtering - sorting - summary statistics","Hidden",09/25/25 06:00 PM,"ChatGPT/Claude","Heavy",180,09/23/25 06:00 PM,"Released Thursday evening - due before Week 5 Tuesday","Data manipulation with AI

Additional Ideas to Cover:
- Data Questions Demo: Dataset with interesting patterns for filtering/sorting — Live demonstration using dataset with interesting patterns. Pose questions and show how to answer with data manipulation: filtering (.loc, boolean indexing), selecting columns, sorting (.sort_values()). Students suggest questions and work through answers together. Choose dataset where filtering/sorting reveals meaningful patterns - maybe student performance data, sales data, or sports statistics. Focus on interpretation of results, not just mechanics. — Pandas operations for data exploration
- Data Manipulation Prep: Question-driven analysis examples — Prepare presentation on data manipulation as question-answering tool: filtering rows to focus on subsets, selecting columns for specific analysis, sorting to find patterns. Frame each operation as way to ask questions of data ('Show me only students with GPA > 3.5', 'What are the top 10 highest values?'). Include conceptual explanations before diving into pandas syntax. Emphasize building analytical thinking alongside technical skills. — Filtering, selecting, sorting concepts
- Grouping Concepts Prep: Statistical intuition building examples — Introduction to grouping data for comparison: why we group (compare categories, find patterns across groups), what summary statistics tell us (mean, median, count, std), how to interpret group differences. Build statistical intuition before technical implementation. Use examples from student experience: comparing majors, analyzing performance by different factors. Discuss when differences are meaningful vs random variation. — Grouping data, summary statistics, interpretation
- Group Analysis Demo: Dataset suitable for category comparisons — Live demonstration of pandas groupby operations using dataset with meaningful categories. Show .groupby(), .agg(), basic summary statistics. Students work through examples comparing different groups, interpreting what the numbers mean. Focus on connecting statistical results to real-world significance. Include discussion of when group differences might be due to other factors (confounding variables). — GroupBy operations, statistical summaries
- Data Manipulation Lab Prep: Challenge dataset, understanding check rubrics — Prepare challenge dataset and questions for students to answer using data manipulation techniques. Create rubrics for understanding checks: can student filter data appropriately, interpret group comparisons, explain their analytical approach. Include troubleshooting guide for common pandas errors (key errors, indexing issues, groupby problems). Design activities that require combining multiple operations to answer complex questions. — TA materials for manipulation practice"
"Introduction to Data Visualization","Lecture","Planning",5,09/30/25 03:15 PM,"Charts as data stories","Hidden",09/30/25 02:00 PM,"Matplotlib","Medium",75,09/28/25 02:00 PM,"Week 5 Tuesday","Creating first charts

Additional Ideas to Cover:
- Visualization Concepts Prep: Examples from news/media, chart selection guidelines — Prepare presentation on visualization principles: why we visualize data (pattern recognition, communication), different chart types serve different purposes, characteristics of effective vs misleading visualizations. Include examples from news, social media, research papers showing good and bad practices. Cover basic chart types: bar charts (categorical data), histograms (distributions), scatter plots (relationships), line plots (time series). Emphasize choosing right visualization for the question and data type. — Chart types, visualization purposes, good vs bad charts
- First Charts Demo: Simple datasets for each chart type demonstration — Live demonstration creating basic charts using matplotlib/pandas plotting. Start with bar chart for categorical data, move to histogram for distribution, create scatter plot for relationships. Students follow along creating their own versions. Focus on when to use each chart type and basic interpretation. Include customization basics: titles, axis labels, colors. Choose simple datasets where chart patterns are clear and meaningful. — Creating bar charts, histograms, scatter plots
- Chart Interpretation Prep: Chart analysis examples, concept review materials — Prepare materials for chart interpretation practice: what to look for in different chart types, how to describe patterns precisely, common misinterpretations to avoid. Include variety of charts for analysis practice. Review key concepts from Weeks 1-5 in preparation for mini-exam. Focus on building vocabulary for describing data patterns and chart characteristics. Include examples of misleading visualizations and how to spot them. — Reading charts, pattern recognition, assessment prep
- Assessment Preparation: Mini-exam preview, peer explanation activities — Review session covering programming fundamentals, data manipulation, and basic visualization. Students practice explaining concepts to each other without AI assistance. Provide mini-exam overview: format, content areas, what 'understanding demonstration' means. Include practice problems similar to exam format. Focus on building confidence in explaining their thinking process rather than just getting right answers. — Review of Weeks 1-5, explanation practice
- Mini-Exam #1: 35-minute assessment of foundational understanding — 35-minute exam testing foundational concepts without AI assistance. Mix of conceptual questions (explain variables/data types, describe when to use different charts), simple coding tasks (create DataFrame, filter data, make basic chart), and chart interpretation (describe patterns, identify chart type). Focus on understanding rather than memorization. Include accommodations for extended time. Design to verify students can work independently with core concepts. — Fundamental concepts, basic coding, chart interpretation"
"Chart Interpretation & Assessment Prep","Lecture","Planning",5,10/02/25 03:15 PM,"Reading charts like an expert","Hidden",10/02/25 02:00 PM,"Matplotlib","Medium",75,09/30/25 02:00 PM,"Week 5 Thursday","Chart analysis + peer explanation

Additional Ideas to Cover:
- Chart Interpretation Prep: Chart analysis examples, concept review materials — Prepare materials for chart interpretation practice: what to look for in different chart types, how to describe patterns precisely, common misinterpretations to avoid. Include variety of charts for analysis practice. Review key concepts from Weeks 1-5 in preparation for mini-exam. Focus on building vocabulary for describing data patterns and chart characteristics. Include examples of misleading visualizations and how to spot them. — Reading charts, pattern recognition, assessment prep
- Visualization Concepts Prep: Examples from news/media, chart selection guidelines — Prepare presentation on visualization principles: why we visualize data (pattern recognition, communication), different chart types serve different purposes, characteristics of effective vs misleading visualizations. Include examples from news, social media, research papers showing good and bad practices. Cover basic chart types: bar charts (categorical data), histograms (distributions), scatter plots (relationships), line plots (time series). Emphasize choosing right visualization for the question and data type. — Chart types, visualization purposes, good vs bad charts
- First Charts Demo: Simple datasets for each chart type demonstration — Live demonstration creating basic charts using matplotlib/pandas plotting. Start with bar chart for categorical data, move to histogram for distribution, create scatter plot for relationships. Students follow along creating their own versions. Focus on when to use each chart type and basic interpretation. Include customization basics: titles, axis labels, colors. Choose simple datasets where chart patterns are clear and meaningful. — Creating bar charts, histograms, scatter plots
- Assessment Preparation: Mini-exam preview, peer explanation activities — Review session covering programming fundamentals, data manipulation, and basic visualization. Students practice explaining concepts to each other without AI assistance. Provide mini-exam overview: format, content areas, what 'understanding demonstration' means. Include practice problems similar to exam format. Focus on building confidence in explaining their thinking process rather than just getting right answers. — Review of Weeks 1-5, explanation practice
- Mini-Exam #1: 35-minute assessment of foundational understanding — 35-minute exam testing foundational concepts without AI assistance. Mix of conceptual questions (explain variables/data types, describe when to use different charts), simple coding tasks (create DataFrame, filter data, make basic chart), and chart interpretation (describe patterns, identify chart type). Focus on understanding rather than memorization. Include accommodations for extended time. Design to verify students can work independently with core concepts. — Fundamental concepts, basic coding, chart interpretation"
"Course Checkpoint #1","Lab","Planning",5,10/03/25 02:30 PM,"Programming fundamentals - data manipulation - basic visualization","Hidden",10/03/25 09:00 AM,"Python","Heavy",55,10/01/25 09:00 AM,"Week 5 Friday exam","Assessment + reflection on learning

Additional Ideas to Cover:
- Course Reflection: Structured reflection on first 5 weeks — Structured discussion about learning process: what's working in GenAI collaboration, where students feel confident vs uncertain, suggestions for course improvements. Include reflection on AI learning strategies, peer collaboration effectiveness, assessment format preferences. Use feedback to adjust approach for remaining weeks. Foster community building and metacognitive awareness. — Learning process evaluation, course adjustments
- Visualization Concepts Prep: Examples from news/media, chart selection guidelines — Prepare presentation on visualization principles: why we visualize data (pattern recognition, communication), different chart types serve different purposes, characteristics of effective vs misleading visualizations. Include examples from news, social media, research papers showing good and bad practices. Cover basic chart types: bar charts (categorical data), histograms (distributions), scatter plots (relationships), line plots (time series). Emphasize choosing right visualization for the question and data type. — Chart types, visualization purposes, good vs bad charts
- First Charts Demo: Simple datasets for each chart type demonstration — Live demonstration creating basic charts using matplotlib/pandas plotting. Start with bar chart for categorical data, move to histogram for distribution, create scatter plot for relationships. Students follow along creating their own versions. Focus on when to use each chart type and basic interpretation. Include customization basics: titles, axis labels, colors. Choose simple datasets where chart patterns are clear and meaningful. — Creating bar charts, histograms, scatter plots
- Chart Interpretation Prep: Chart analysis examples, concept review materials — Prepare materials for chart interpretation practice: what to look for in different chart types, how to describe patterns precisely, common misinterpretations to avoid. Include variety of charts for analysis practice. Review key concepts from Weeks 1-5 in preparation for mini-exam. Focus on building vocabulary for describing data patterns and chart characteristics. Include examples of misleading visualizations and how to spot them. — Reading charts, pattern recognition, assessment prep
- Assessment Preparation: Mini-exam preview, peer explanation activities — Review session covering programming fundamentals, data manipulation, and basic visualization. Students practice explaining concepts to each other without AI assistance. Provide mini-exam overview: format, content areas, what 'understanding demonstration' means. Include practice problems similar to exam format. Focus on building confidence in explaining their thinking process rather than just getting right answers. — Review of Weeks 1-5, explanation practice"
"GAI-E05: Visualization Basics","Assignment","Planning",5,10/07/25 02:00 PM,"Visualization purposes - chart types - Python plotting","Hidden",10/02/25 06:00 PM,"ChatGPT/Claude","Heavy",180,09/30/25 06:00 PM,"Released Thursday evening - due before Week 6 Tuesday","Visualization concepts with AI

Additional Ideas to Cover:
- Visualization Concepts Prep: Examples from news/media, chart selection guidelines — Prepare presentation on visualization principles: why we visualize data (pattern recognition, communication), different chart types serve different purposes, characteristics of effective vs misleading visualizations. Include examples from news, social media, research papers showing good and bad practices. Cover basic chart types: bar charts (categorical data), histograms (distributions), scatter plots (relationships), line plots (time series). Emphasize choosing right visualization for the question and data type. — Chart types, visualization purposes, good vs bad charts
- First Charts Demo: Simple datasets for each chart type demonstration — Live demonstration creating basic charts using matplotlib/pandas plotting. Start with bar chart for categorical data, move to histogram for distribution, create scatter plot for relationships. Students follow along creating their own versions. Focus on when to use each chart type and basic interpretation. Include customization basics: titles, axis labels, colors. Choose simple datasets where chart patterns are clear and meaningful. — Creating bar charts, histograms, scatter plots
- Chart Interpretation Prep: Chart analysis examples, concept review materials — Prepare materials for chart interpretation practice: what to look for in different chart types, how to describe patterns precisely, common misinterpretations to avoid. Include variety of charts for analysis practice. Review key concepts from Weeks 1-5 in preparation for mini-exam. Focus on building vocabulary for describing data patterns and chart characteristics. Include examples of misleading visualizations and how to spot them. — Reading charts, pattern recognition, assessment prep
- Assessment Preparation: Mini-exam preview, peer explanation activities — Review session covering programming fundamentals, data manipulation, and basic visualization. Students practice explaining concepts to each other without AI assistance. Provide mini-exam overview: format, content areas, what 'understanding demonstration' means. Include practice problems similar to exam format. Focus on building confidence in explaining their thinking process rather than just getting right answers. — Review of Weeks 1-5, explanation practice
- Mini-Exam #1: 35-minute assessment of foundational understanding — 35-minute exam testing foundational concepts without AI assistance. Mix of conceptual questions (explain variables/data types, describe when to use different charts), simple coding tasks (create DataFrame, filter data, make basic chart), and chart interpretation (describe patterns, identify chart type). Focus on understanding rather than memorization. Include accommodations for extended time. Design to verify students can work independently with core concepts. — Fundamental concepts, basic coding, chart interpretation"
"Advanced Visualization Techniques","Lecture","Planning",6,10/07/25 03:15 PM,"Beyond basic charts","Hidden",10/07/25 02:00 PM,"Matplotlib","Medium",75,10/05/25 02:00 PM,"Week 6 Tuesday","Box plots - subplots - customization

Additional Ideas to Cover:
- Advanced Visualization Demo: Dataset suitable for advanced chart techniques — Live demonstration creating box plots for group comparisons, subplot arrays for multiple variables, customized charts with proper styling. Students follow along experimenting with advanced techniques. Choose dataset where advanced visualizations reveal insights not visible in basic charts. Include guidance on when complexity is justified vs when simple charts are better. — Creating complex visualizations
- Advanced Charts Prep: Advanced visualization examples and use cases — Prepare presentation on advanced visualization techniques: box plots for distribution comparison, subplot arrays for multiple comparisons, customization for clarity and impact. Include examples of when advanced techniques are necessary vs overkill. Cover design principles: color choice, layout, accessibility considerations. Show examples from research papers, business reports, journalism where advanced visualizations effectively communicate complex information. — Box plots, subplots, customization techniques
- EDA Process Prep: Complete EDA workflow examples — Prepare presentation on systematic exploratory data analysis: standard process for approaching new dataset, questions to ask in sequence, how different analyses build on each other. Cover EDA workflow: data loading Ã¢ÂÂ initial exploration Ã¢ÂÂ cleaning Ã¢ÂÂ univariate analysis Ã¢ÂÂ bivariate analysis Ã¢ÂÂ pattern identification Ã¢ÂÂ hypothesis formation. Include examples showing how systematic approach reveals insights that ad-hoc exploration might miss. — Systematic data exploration, EDA methodology
- Complete EDA Demo: Rich dataset for comprehensive exploration — Live demonstration of complete EDA process on rich dataset. Walk through systematic exploration: data loading, cleaning, univariate analysis (distributions, summary stats), bivariate analysis (correlations, group comparisons), multivariate patterns, insight synthesis. Students observe expert analytical thinking process, suggest next steps, discuss interpretation of findings. Choose dataset complex enough to require systematic approach but manageable in class time. — Full exploratory data analysis walkthrough
- Independent EDA Lab Prep: Dataset options, presentation guidelines — Prepare dataset options for student EDA projects, presentation guidelines for sharing findings, rubrics for evaluating independent work. Include backup support for students who struggle with open-ended exploration. Create structure for brief student presentations of their findings. Provide troubleshooting guidance for complex data issues that might arise during independent work. — TA materials for independent exploration"
"Comprehensive Data Exploration","Lecture","Planning",6,10/09/25 03:15 PM,"Systematic data exploration (EDA)","Hidden",10/09/25 02:00 PM,"Pandas/Matplotlib","Medium",75,10/07/25 02:00 PM,"Week 6 Thursday","Full EDA walkthrough

Additional Ideas to Cover:
- Advanced Visualization Demo: Dataset suitable for advanced chart techniques — Live demonstration creating box plots for group comparisons, subplot arrays for multiple variables, customized charts with proper styling. Students follow along experimenting with advanced techniques. Choose dataset where advanced visualizations reveal insights not visible in basic charts. Include guidance on when complexity is justified vs when simple charts are better. — Creating complex visualizations
- Advanced Charts Prep: Advanced visualization examples and use cases — Prepare presentation on advanced visualization techniques: box plots for distribution comparison, subplot arrays for multiple comparisons, customization for clarity and impact. Include examples of when advanced techniques are necessary vs overkill. Cover design principles: color choice, layout, accessibility considerations. Show examples from research papers, business reports, journalism where advanced visualizations effectively communicate complex information. — Box plots, subplots, customization techniques
- EDA Process Prep: Complete EDA workflow examples — Prepare presentation on systematic exploratory data analysis: standard process for approaching new dataset, questions to ask in sequence, how different analyses build on each other. Cover EDA workflow: data loading Ã¢ÂÂ initial exploration Ã¢ÂÂ cleaning Ã¢ÂÂ univariate analysis Ã¢ÂÂ bivariate analysis Ã¢ÂÂ pattern identification Ã¢ÂÂ hypothesis formation. Include examples showing how systematic approach reveals insights that ad-hoc exploration might miss. — Systematic data exploration, EDA methodology
- Complete EDA Demo: Rich dataset for comprehensive exploration — Live demonstration of complete EDA process on rich dataset. Walk through systematic exploration: data loading, cleaning, univariate analysis (distributions, summary stats), bivariate analysis (correlations, group comparisons), multivariate patterns, insight synthesis. Students observe expert analytical thinking process, suggest next steps, discuss interpretation of findings. Choose dataset complex enough to require systematic approach but manageable in class time. — Full exploratory data analysis walkthrough
- Independent EDA Lab Prep: Dataset options, presentation guidelines — Prepare dataset options for student EDA projects, presentation guidelines for sharing findings, rubrics for evaluating independent work. Include backup support for students who struggle with open-ended exploration. Create structure for brief student presentations of their findings. Provide troubleshooting guidance for complex data issues that might arise during independent work. — TA materials for independent exploration"
"Independent Data Exploration","Lab","Planning",6,10/10/25 02:30 PM,"Student dataset exploration + presentations","Hidden",10/10/25 09:00 AM,"Python","Medium",55,10/08/25 09:00 AM,"Week 6 Friday lab","Independent project + sharing findings

Additional Ideas to Cover:
- Independent EDA Lab Prep: Dataset options, presentation guidelines — Prepare dataset options for student EDA projects, presentation guidelines for sharing findings, rubrics for evaluating independent work. Include backup support for students who struggle with open-ended exploration. Create structure for brief student presentations of their findings. Provide troubleshooting guidance for complex data issues that might arise during independent work. — TA materials for independent exploration
- Independent EDA Lab Session: Capstone of first 6 weeks, presentation practice — Students work on independent EDA projects with TA support, then share findings in brief presentations. Focus on analytical thinking process, pattern interpretation, and communication skills. This serves as capstone demonstration of skills developed over first 6 weeks and transition toward statistical concepts in Week 7+."" examples — Student-led data exploration and presentation
- Advanced Visualization Demo: Dataset suitable for advanced chart techniques — Live demonstration creating box plots for group comparisons, subplot arrays for multiple variables, customized charts with proper styling. Students follow along experimenting with advanced techniques. Choose dataset where advanced visualizations reveal insights not visible in basic charts. Include guidance on when complexity is justified vs when simple charts are better. — Creating complex visualizations
- Advanced Charts Prep: Advanced visualization examples and use cases — Prepare presentation on advanced visualization techniques: box plots for distribution comparison, subplot arrays for multiple comparisons, customization for clarity and impact. Include examples of when advanced techniques are necessary vs overkill. Cover design principles: color choice, layout, accessibility considerations. Show examples from research papers, business reports, journalism where advanced visualizations effectively communicate complex information. — Box plots, subplots, customization techniques
- EDA Process Prep: Complete EDA workflow examples — Prepare presentation on systematic exploratory data analysis: standard process for approaching new dataset, questions to ask in sequence, how different analyses build on each other. Cover EDA workflow: data loading Ã¢ÂÂ initial exploration Ã¢ÂÂ cleaning Ã¢ÂÂ univariate analysis Ã¢ÂÂ bivariate analysis Ã¢ÂÂ pattern identification Ã¢ÂÂ hypothesis formation. Include examples showing how systematic approach reveals insights that ad-hoc exploration might miss. — Systematic data exploration, EDA methodology"
